name,latitude,longitude
Point_1,-6.888766959043292,107.56232825637774
Point_2,-6.999141592167555,107.68125183602444
Point_3,-6.947692687133346,107.74254916136863
Point_4,-6.792956726692392,107.74398531227021
Point_5,-6.888599617770269,107.72571927400915
Point_6,-6.945248049740731,107.67996009239734
Point_7,-6.9923905748067465,107.56242425211457
Point_8,-6.807451600919397,107.69435884970679
Point_9,-6.81624207506375,107.59301141342654
Point_10,-6.983911829886669,107.57442960245318
Point_11,-6.838794291686265,107.6871411662738
Point_12,-6.915917539691527,107.63436314859243
Point_13,-6.820006000076935,107.58857308440885
Point_14,-6.856258754925088,107.56002911590673
Point_15,-6.804224509760772,107.67609122491494
Point_16,-6.935394985175197,107.627978923229
Point_17,-6.930928735971956,107.73300449331765
Point_18,-6.949155577488557,107.6036606903945
Point_19,-6.972244174527378,107.61993817662935
Point_20,-6.93169881174179,107.60777107727829
Point_21,-6.960471550680207,107.71648647686914
Point_22,-6.835668815442424,107.59311584446999
Point_23,-6.926409482935317,107.67980838792383
Point_24,-6.860171161541362,107.73669716080727
Point_25,-6.809549673388591,107.7320411259312
Point_26,-6.963860506225667,107.66023691835582
Point_27,-6.888670289290519,107.55722490968361
Point_28,-6.958464073474674,107.74817403609576
Point_29,-6.811956973269162,107.55919301945927
Point_30,-6.848769445861222,107.5754708310866
Point_31,-6.823742610546069,107.5550740574851
Point_32,-6.887924834047533,107.74310057226944
Point_33,-6.89151358512498,107.55933586016114
Point_34,-6.986679714839012,107.7224084489086
Point_35,-6.840898407860289,107.57871928285589
Point_36,-6.982442645107161,107.61254995142474
Point_37,-6.791801803732672,107.71133801849754
Point_38,-6.9200533369274995,107.66542780199016
Point_39,-6.870025571695138,107.59766518101328
Point_40,-6.7708951912950255,107.71147877477988
Point_41,-6.784036344093498,107.56455647895488
Point_42,-6.951871408404262,107.59822471266473
Point_43,-6.953263449578357,107.6364807169419
Point_44,-6.784283390180437,107.74682623361315
Point_45,-6.795453072515061,107.57366828153425
Point_46,-6.98444604282301,107.65852321693478
Point_47,-6.772223187594036,107.64142994724838
Point_48,-6.949889669937327,107.63215550879886
Point_49,-6.8372428061794,107.60593051511678
Point_50,-6.986230728426383,107.73740756297637
Point_51,-6.751924758152612,107.63436015990656
Point_52,-6.881493394854726,107.6134551474174
Point_53,-6.780671633801768,107.65001379033899
Point_54,-6.827802202733625,107.55481190101003
Point_55,-6.780560297463667,107.5922569955769
Point_56,-6.76479022344013,107.652299563513
Point_57,-6.764645211463797,107.7105523204167
Point_58,-6.961627692585293,107.63419463641128
Point_59,-6.949771336383626,107.73807437111174
Point_60,-6.858443692301071,107.73595493154001
Point_61,-6.947996023790742,107.69193523517858
Point_62,-6.9626214703431835,107.60460883781705
Point_63,-6.88459714039693,107.57863923283622
Point_64,-6.93624218459113,107.60311294488993
Point_65,-6.87032589345687,107.66323544660605
Point_66,-6.758690592919505,107.64411172221692
Point_67,-6.9497056989249035,107.57416714166483
Point_68,-6.9987798081415775,107.66145423567531
Point_69,-6.8400003517720345,107.57689812833345
Point_70,-6.768893533134248,107.57269388560779
Point_71,-6.772990447000114,107.59645451268119
Point_72,-6.964844492042418,107.57145243571784
Point_73,-6.907700250627073,107.65353520619296
Point_74,-6.924606715851383,107.66865557089264
Point_75,-6.9010919030644144,107.7000960844541
Point_76,-6.889121929033779,107.66353250553064
Point_77,-6.784153155869782,107.61462331934884
Point_78,-6.881694602463329,107.6764597645935
Point_79,-6.919419516156384,107.71054496283355
Point_80,-6.767148891488378,107.69312938113696
Point_81,-6.928258678584539,107.6514845690318
Point_82,-6.939388638809635,107.56498739360336
Point_83,-6.976612312450415,107.63933374701051
Point_84,-6.892367674463782,107.74857322175127
Point_85,-6.97196363460626,107.56421667881142
Point_86,-6.8119406354390355,107.69498615306657
Point_87,-6.907827498275733,107.6483708173475
Point_88,-6.8786857846057465,107.5676556859427
Point_89,-6.95980198411779,107.59497357333798
Point_90,-6.925837360128569,107.63437448425127
Point_91,-6.888918401925451,107.61264894851432
Point_92,-6.814512759135191,107.64864111441011
Point_93,-6.950903237228117,107.58758410258052
Point_94,-6.7807050342094275,107.6059999898401
Point_95,-6.854936234855096,107.71351800155676
Point_96,-6.820074484539838,107.66753863790152
Point_97,-6.842589251615927,107.59801747530823
